n,test_idx,logscore_total,logscore_lf,logscore_mf,logscore_hf
5,0,858.248291015625,29.29909896850586,76.77025604248047,752.178955078125
5,1,951.1138916015625,34.40727996826172,72.40046691894531,844.30615234375
5,2,964.6640625,36.32435989379883,89.88239288330078,838.4573364257812
5,3,916.9928588867188,34.6655158996582,76.6397476196289,805.6876220703125
5,4,898.5338134765625,36.754817962646484,77.91166687011719,783.8673095703125
5,5,913.1629028320312,28.572254180908203,79.60385131835938,804.98681640625
5,6,955.6185913085938,34.50553894042969,84.58036804199219,836.53271484375
5,7,1013.3412475585938,39.026885986328125,90.93384552001953,883.3804931640625
5,8,952.7869873046875,30.769428253173828,77.32122802734375,844.6963500976562
5,9,927.1996459960938,28.968429565429688,76.01447296142578,822.2167358398438
5,10,965.2842407226562,33.92481231689453,88.09527587890625,843.26416015625
5,11,862.0708618164062,26.501602172851562,75.3689956665039,760.2002563476562
5,12,921.827880859375,33.78160858154297,74.92998504638672,813.1162719726562
5,13,1010.0047607421875,39.66257095336914,93.95733642578125,876.3848266601562
5,14,885.6342163085938,37.43363571166992,88.44673156738281,759.7538452148438
5,15,970.4514770507812,37.08003234863281,82.55380249023438,850.817626953125
5,16,938.6365966796875,32.301475524902344,86.47460174560547,819.8605346679688
5,17,940.6101684570312,34.930938720703125,80.71267700195312,824.966552734375
5,18,932.4271240234375,26.62074851989746,76.18907928466797,829.6172485351562
5,19,1013.2815551757812,42.226661682128906,86.8843994140625,884.1704711914062
5,20,915.1292724609375,35.164249420166016,79.49393463134766,800.4711303710938
5,21,988.3756103515625,36.332027435302734,84.9237060546875,867.119873046875
5,22,990.2307739257812,35.505611419677734,87.3067398071289,867.4183959960938
5,23,911.9384765625,27.490510940551758,74.29393005371094,810.154052734375
5,24,942.4993286132812,29.33379364013672,87.2439193725586,825.921630859375
5,25,951.8035888671875,34.15522766113281,83.36773681640625,834.2805786132812
5,26,979.260498046875,34.100914001464844,85.2090072631836,859.9505615234375
5,27,1024.766357421875,37.907005310058594,85.82568359375,901.03369140625
5,28,927.7854614257812,30.769161224365234,74.82390594482422,822.1923828125
5,29,940.9194946289062,34.00111770629883,84.68904876708984,822.2293090820312
5,30,891.81298828125,33.736419677734375,78.55744171142578,779.5191650390625
5,31,949.2969360351562,35.919891357421875,84.93598175048828,828.4411010742188
5,32,908.470458984375,28.899150848388672,77.32565307617188,802.2456665039062
5,33,937.5521240234375,34.48809051513672,79.69683837890625,823.3672485351562
5,34,936.253662109375,24.902780532836914,75.93151092529297,835.4193725585938
5,35,1002.7098388671875,37.1922607421875,88.06952667236328,877.4480590820312
5,36,911.812744140625,28.73186492919922,81.23225402832031,801.8486328125
5,37,900.7748413085938,31.11160659790039,72.31304931640625,797.3502197265625
5,38,925.01806640625,33.624900817871094,85.27171325683594,806.1214599609375
5,39,896.9529418945312,29.646242141723633,75.36981964111328,791.9368896484375
5,40,923.4839477539062,30.57109260559082,80.79801177978516,812.1148071289062
5,41,903.3566284179688,32.3964729309082,78.31396484375,792.6461791992188
5,42,1014.71484375,43.351707458496094,88.11175537109375,883.2514038085938
5,43,949.87890625,32.23622131347656,83.87763214111328,833.7650756835938
5,44,938.9483032226562,32.38877487182617,77.91038513183594,828.649169921875
5,45,938.6801147460938,33.528038024902344,79.03801727294922,826.1140747070312
5,46,924.440185546875,29.58675765991211,77.3310317993164,817.5223999023438
5,47,944.8487548828125,32.06791305541992,78.9177017211914,833.8631591796875
5,48,889.3804321289062,27.527524948120117,71.50627899169922,790.3466186523438
5,49,959.3435668945312,35.52349853515625,77.3580551147461,846.4619750976562
10,0,808.4747314453125,31.76873016357422,70.2531509399414,706.452880859375
10,1,889.8064575195312,34.633811950683594,64.49786376953125,790.6748046875
10,2,875.5582885742188,31.956560134887695,76.77259063720703,766.8291625976562
10,3,851.7449340820312,31.932971954345703,65.53492736816406,754.2770385742188
10,4,838.9462280273438,35.59695053100586,64.63969421386719,738.7095947265625
10,5,852.938720703125,28.162052154541016,70.90826416015625,753.868408203125
10,6,872.5878295898438,29.83707618713379,75.4396743774414,767.3110961914062
10,7,906.48828125,40.19406509399414,78.37213134765625,787.922119140625
10,8,884.0994873046875,29.71330451965332,69.80010986328125,784.5860595703125
10,9,853.413818359375,26.844255447387695,66.98827362060547,759.581298828125
10,10,874.3018798828125,32.89647674560547,74.61441802978516,766.791015625
10,11,805.216796875,25.484140396118164,61.966819763183594,717.765869140625
10,12,855.279052734375,30.139169692993164,65.30390167236328,759.8359985351562
10,13,911.1124877929688,39.009521484375,79.48976135253906,792.6132202148438
10,14,823.7232666015625,35.388423919677734,77.70619201660156,710.628662109375
10,15,877.0556640625,35.773712158203125,72.02527618408203,769.2566528320312
10,16,862.2703857421875,31.61733055114746,74.34010314941406,756.3129272460938
10,17,882.8069458007812,32.51808547973633,71.79293060302734,778.4959106445312
10,18,886.3419799804688,25.76439666748047,72.15591430664062,788.4216918945312
10,19,913.1097412109375,41.827022552490234,74.75896453857422,796.5237426757812
10,20,857.4392700195312,34.39249038696289,70.27544403076172,752.7713623046875
10,21,904.3638305664062,34.013545989990234,73.72947692871094,796.6207885742188
10,22,883.4791870117188,34.47887420654297,75.20484924316406,773.7954711914062
10,23,854.2111206054688,26.291135787963867,64.1216812133789,763.7982788085938
10,24,866.8986206054688,26.636642456054688,81.54793548583984,758.7140502929688
10,25,865.6978759765625,31.06212615966797,70.38676452636719,764.2490234375
10,26,870.1707763671875,32.519859313964844,73.1031723022461,764.5477294921875
10,27,907.0291748046875,34.39534378051758,69.49057006835938,803.143310546875
10,28,854.309326171875,28.9239444732666,63.80583190917969,761.57958984375
10,29,852.2161254882812,30.40128517150879,73.28870391845703,748.526123046875
10,30,818.4905395507812,29.33933448791504,69.86981964111328,719.2813720703125
10,31,882.0324096679688,35.62069320678711,75.81207275390625,770.5996704101562
10,32,833.4598388671875,29.08865737915039,69.20011901855469,735.1710205078125
10,33,859.4879760742188,31.489072799682617,65.83195495605469,762.1669311523438
10,34,874.2883911132812,24.71867561340332,68.58904266357422,780.9806518554688
10,35,897.3327026367188,34.67178726196289,73.96334838867188,788.6975708007812
10,36,861.0287475585938,28.80925750732422,75.46215057373047,756.75732421875
10,37,864.4954223632812,30.901161193847656,61.248836517333984,772.3453979492188
10,38,861.3035888671875,32.20519256591797,75.28157806396484,753.8167724609375
10,39,836.8433837890625,29.331480026245117,66.58322143554688,740.9287109375
10,40,852.9315185546875,28.0483341217041,67.3994369506836,757.4837646484375
10,41,849.7809448242188,31.120243072509766,68.7378921508789,749.9227905273438
10,42,900.6840209960938,36.57943344116211,76.59869384765625,787.505859375
10,43,896.9404296875,32.591400146484375,75.7951431274414,788.5538940429688
10,44,869.1932373046875,32.6100959777832,67.77521514892578,768.8079223632812
10,45,837.626220703125,33.74444580078125,68.70761108398438,735.1741333007812
10,46,839.330322265625,29.334571838378906,71.14046478271484,738.8552856445312
10,47,864.8574829101562,31.412477493286133,71.50225830078125,761.9427490234375
10,48,827.0664672851562,26.594940185546875,63.70694351196289,736.7645874023438
10,49,896.6295776367188,33.20640182495117,69.71617126464844,793.7069702148438
20,0,767.4561767578125,30.394216537475586,68.3314208984375,668.7305297851562
20,1,815.91748046875,35.082908630371094,60.371856689453125,720.4627075195312
20,2,826.0270385742188,30.19248390197754,67.34009552001953,728.4944458007812
20,3,801.7384033203125,23.408262252807617,61.6683349609375,716.6618041992188
20,4,773.4525146484375,30.56991195678711,54.93179702758789,687.9508056640625
20,5,784.337158203125,28.827619552612305,62.41410827636719,693.0953979492188
20,6,819.6238403320312,26.730186462402344,70.85885620117188,722.0347900390625
20,7,841.40234375,38.015377044677734,72.39437866210938,730.9926147460938
20,8,814.6058959960938,25.691225051879883,62.969261169433594,725.9453735351562
20,9,808.61669921875,24.96185874938965,64.88772583007812,718.7671508789062
20,10,817.72802734375,30.361896514892578,71.23353576660156,716.132568359375
20,11,773.2384643554688,25.147432327270508,54.95162582397461,693.139404296875
20,12,802.1007690429688,23.742164611816406,57.8903694152832,720.46826171875
20,13,817.6765747070312,35.37861633300781,68.4050521850586,713.8928833007812
20,14,764.86328125,29.940805435180664,65.66893005371094,669.2536010742188
20,15,818.2135009765625,33.076663970947266,65.6315689086914,719.5052490234375
20,16,797.8735961914062,31.430002212524414,69.32959747314453,697.114013671875
20,17,812.7827758789062,29.811450958251953,66.7140121459961,716.25732421875
20,18,849.38134765625,24.140701293945312,67.6994400024414,757.5411987304688
20,19,824.7609252929688,34.99531173706055,63.73079299926758,726.0348510742188
20,20,795.8619384765625,30.397096633911133,59.773101806640625,705.6917724609375
20,21,818.5928344726562,28.045589447021484,62.69062805175781,727.8566284179688
20,22,799.4690551757812,29.145065307617188,65.15679168701172,705.1671752929688
20,23,802.3197021484375,22.879730224609375,54.53379440307617,724.9061889648438
20,24,794.8926391601562,23.458433151245117,73.18025970458984,698.2539672851562
20,25,816.1340942382812,26.571603775024414,68.36253356933594,721.2000122070312
20,26,814.1118774414062,35.14039993286133,69.87925720214844,709.0922241210938
20,27,819.7732543945312,27.945384979248047,62.48839569091797,729.3394775390625
20,28,808.7717895507812,28.638324737548828,56.347103118896484,723.786376953125
20,29,787.027099609375,28.009946823120117,69.21186065673828,689.8052978515625
20,30,777.34033203125,28.89982032775879,63.68474578857422,684.7557983398438
20,31,813.3076782226562,33.18621063232422,63.589534759521484,716.5319213867188
20,32,799.6951904296875,28.68977928161621,69.11693572998047,701.8884887695312
20,33,783.7191772460938,26.089588165283203,55.38072204589844,702.2488403320312
20,34,810.5581665039062,24.553194046020508,62.350223541259766,723.6547241210938
20,35,835.8108520507812,31.03343963623047,69.3058090209961,735.4715576171875
20,36,814.538330078125,27.154409408569336,70.74341583251953,716.6405029296875
20,37,800.5765380859375,29.25518035888672,53.05093765258789,718.2703857421875
20,38,823.5182495117188,33.00115203857422,66.55343627929688,723.9636840820312
20,39,776.5484008789062,29.002838134765625,58.4884147644043,689.0571899414062
20,40,783.51123046875,25.5794677734375,59.23823165893555,698.6935424804688
20,41,788.92919921875,27.039173126220703,59.77619552612305,702.1138305664062
20,42,831.4402465820312,32.116050720214844,67.50591278076172,731.8182373046875
20,43,846.4725341796875,32.619476318359375,74.9908218383789,738.8622436523438
20,44,804.6057739257812,29.632091522216797,63.195865631103516,711.77783203125
20,45,795.6809692382812,33.066898345947266,60.147727966308594,702.46630859375
20,46,778.3035888671875,28.753353118896484,61.91056442260742,687.6396484375
20,47,798.47021484375,28.868295669555664,64.977783203125,704.6241455078125
20,48,771.5254516601562,25.350255966186523,56.931888580322266,689.2432861328125
20,49,836.5711669921875,29.820301055908203,61.43504333496094,745.3157958984375
30,0,763.74365234375,30.929309844970703,68.22199249267578,664.5923461914062
30,1,801.6000366210938,33.38231658935547,56.595794677734375,711.6219482421875
30,2,794.6710205078125,27.244155883789062,64.02925872802734,703.3975830078125
30,3,787.6503295898438,21.718236923217773,61.28841781616211,704.6436767578125
30,4,745.97314453125,29.248525619506836,50.21607208251953,666.508544921875
30,5,769.9563598632812,28.813493728637695,59.76729202270508,681.3755493164062
30,6,797.2896728515625,26.162336349487305,71.04743194580078,700.0798950195312
30,7,815.5032958984375,36.370052337646484,65.58019256591797,713.5530395507812
30,8,792.5863037109375,23.493196487426758,63.57404327392578,705.5191040039062
30,9,786.1464233398438,24.367626190185547,63.95781326293945,697.8209838867188
30,10,791.9198608398438,30.776988983154297,66.99457550048828,694.1483154296875
30,11,758.1650390625,23.574037551879883,52.7198486328125,681.8711547851562
30,12,768.4768676757812,21.526002883911133,55.5956916809082,691.3551635742188
30,13,805.2845458984375,36.455623626708984,64.64273834228516,704.1862182617188
30,14,733.4991455078125,29.945615768432617,61.95225524902344,641.6012573242188
30,15,781.8245239257812,31.521316528320312,61.2612190246582,689.0419921875
30,16,770.770751953125,31.533231735229492,64.99598693847656,674.2415161132812
30,17,792.9810180664062,29.81693458557129,64.01032257080078,699.15380859375
30,18,826.2142333984375,23.308408737182617,68.30665588378906,734.5991821289062
30,19,806.4752197265625,33.18450164794922,62.41486740112305,710.8758544921875
30,20,782.0797119140625,28.426525115966797,56.7218132019043,696.931396484375
30,21,802.2410278320312,28.51190185546875,60.25510025024414,713.4739990234375
30,22,784.9421997070312,28.454261779785156,59.550323486328125,696.9376220703125
30,23,778.6122436523438,23.431324005126953,50.69670867919922,704.4841918945312
30,24,791.4393920898438,22.122385025024414,74.21621704101562,695.1007690429688
30,25,799.18505859375,25.06192398071289,64.44941711425781,709.6737060546875
30,26,790.8195190429688,33.98200225830078,67.77046966552734,689.0670166015625
30,27,790.9425048828125,26.134340286254883,58.83982467651367,705.9683227539062
