n,test_idx,logscore_total,logscore_gcm,logscore_rcm
5,44,1814413.3822232857,552.5603505023552,1813860.8218727838
5,33,2046534.9478721272,285.10611521694995,2046249.84175691
5,27,5088644.357319355,323.9902563309269,5088320.367063023
5,1,4982536.692750819,1089.454825481055,4981447.237925339
5,10,4370073.299897207,459.26741630108177,4369614.032480907
5,18,3895377.8854625346,463.98986552312977,3894913.895597012
5,12,8844056.14553058,998.9959896878295,8843057.14954089
5,29,4369733.979596784,742.2450809788463,4368991.734515806
5,37,4345256.903466173,1005.9058445972066,4344250.997621575
5,47,3334927.6298348107,439.90584104042705,3334487.7239937703
10,44,46419.5473199486,299.6381475772574,46119.909172371335
10,33,24108.74936750452,260.6390369790195,23848.110330525502
10,27,64175.3558824343,262.00111227143526,63913.35477016287
10,1,154707.56643419445,433.0632184148385,154274.5032157796
10,10,57178.18978067601,286.2785238796673,56891.91125679636
10,18,59473.80749899121,292.53056046544845,59181.276938525756
10,12,164501.46437403635,285.4988757061246,164215.96549833025
10,29,180880.42571584275,343.8301068031197,180536.59560903962
10,37,129503.67435403465,357.6120361746216,129146.06231786002
10,47,117207.53662626879,365.6814395676771,116841.85518670111
15,44,-47330.79218758483,244.10052204983486,-47574.89270963466
15,33,-69134.08278350579,215.11857709411572,-69349.2013605999
15,27,-59895.67277640759,225.1441005991873,-60120.816877006786
15,1,-10174.99661562661,286.22664420992203,-10461.223259836526
15,10,-39043.842452222685,258.390289442172,-39302.232741664855
15,18,-48229.647428197335,252.79909963271803,-48482.44652783005
15,12,26243.429470418963,246.96993532371016,25996.459535095244
15,29,31938.706163974406,306.9273417862621,31631.778822188146
15,37,-19109.79447833177,274.8700393575431,-19384.664517689314
15,47,-28756.177096568896,293.20403751429984,-29049.381134083196
20,44,-69848.24028437672,210.67684701629688,-70058.91713139301
20,33,-86187.77694057208,190.38674654373665,-86378.1636871158
20,27,-79418.0817660004,195.7047998912218,-79613.78656589161
20,1,-30509.570770945684,255.78172370155798,-30765.352494647246
20,10,-54669.6022051903,238.11551584240635,-54907.7177210327
20,18,-73332.86063089834,216.9343416785534,-73549.7949725769
20,12,689.438831620484,226.90011120324294,462.5387204172439
20,29,-10683.007634163445,282.3967709164698,-10965.404405079918
20,37,-40878.59305421285,250.85436366736803,-41129.44741788022
20,47,-54267.900313440274,268.2733266675972,-54536.17364010789
25,44,-84359.47032907233,203.02219019072797,-84562.49251926305
25,33,-99915.0447713761,172.1733050476115,-100087.21807642371
25,27,-98370.67940878346,174.44877187639023,-98545.12818065984
25,1,-44303.3075412865,241.4301620813905,-44544.73770336789
25,10,-69494.0680479597,218.8652711639033,-69712.93331912362
25,18,-85565.42781305437,202.6005840206231,-85768.02839707499
25,12,-30468.844188002324,210.69371396899146,-30679.537901971315
25,29,-33993.9485571037,269.2083976050018,-34263.15695470871
25,37,-59738.05208187996,242.56801251717346,-59980.62009439714
25,47,-72679.44666055197,249.67179416263193,-72929.1184547146
30,44,-90983.06216047313,190.6369139922947,-91173.69907446542
30,33,-107000.45010500502,160.50542411782325,-107160.95552912285
30,27,-110398.79510654438,158.9630840380903,-110557.75819058248
30,1,-53974.61966351659,223.7661161100159,-54198.38577962661
30,10,-78744.18349747905,208.5018858448214,-78952.68538332389
30,18,-94108.94932235751,195.2766493232742,-94304.22597168077
30,12,-43683.71359287406,200.07547855531917,-43883.78907142938
30,29,-44224.03753629514,259.71462700268165,-44483.75216329782
30,37,-71376.15203898546,233.4237811200154,-71609.57582010547
30,47,-83159.22984885689,236.9037233231174,-83396.13357218
35,44,-95755.10633560781,180.14327311115716,-95935.24960871896
35,33,-110240.495902568,151.21559018069848,-110391.7114927487
35,27,-114925.7550507308,151.92277284616497,-115077.67782357699
35,1,-59474.811910070304,205.40084408927902,-59680.212754159584
35,10,-83416.34103142699,196.78111785051655,-83613.1221492775
35,18,-99367.7022815898,186.21252982490037,-99553.91481141471
35,12,-54521.29675219361,179.1856937755976,-54700.48244596922
35,29,-50676.30959279463,237.27805881662007,-50913.58765161124
35,37,-78481.72189089809,220.7187480364276,-78702.44063893452
35,47,-89208.0421873533,220.45242718781122,-89428.49461454112
40,44,-103348.36348258375,171.965550809785,-103520.32903339354
40,33,-116998.22584056522,144.0463503541979,-117142.27219091944
40,27,-120341.04312124178,144.29562081594992,-120485.33874205772
40,1,-67668.41175660296,194.877467639065,-67863.28922424203
40,10,-92996.24480286146,182.5458071597077,-93178.79061002117
40,18,-106936.04900816172,180.6463867686848,-107116.6953949304
40,12,-62735.639413005,173.18709053656255,-62908.82650354157
40,29,-62306.37302102256,225.4275238875306,-62531.80054491009
40,37,-85649.62258063078,218.9160266523279,-85868.5386072831
40,47,-97146.65321369533,204.5365190769527,-97351.18973277227


"C:\Users\Aleja\Documents\gallo\curso\aos425\project\Modern_PredictedSST.prt"
"C:\Users\Aleja\Documents\gallo\curso\aos425\project\parsed_control"
