n,test_idx,logscore_total,logscore_gcm,logscore_rcm
5,44,82980.3203125,12937.40625,70042.9140625
5,33,95197.4453125,10346.720703125,84850.7265625
5,27,229958.78125,15964.2509765625,213994.53125
5,1,220045.671875,19177.76953125,200867.90625
5,10,203407.921875,16669.89453125,186738.03125
5,18,161326.65625,13744.0673828125,147582.59375
5,12,384775.125,21326.46875,363448.65625
5,29,213458.1875,10303.78515625,203154.40625
5,37,199820.640625,12810.853515625,187009.78125
5,47,176486.8125,13802.4677734375,162684.34375
10,44,39787.62109375,13630.9111328125,26156.7109375
10,33,33160.3359375,12949.373046875,20210.9609375
10,27,46026.4296875,18072.158203125,27954.2734375
10,1,68655.640625,15459.05078125,53196.5859375
10,10,49870.734375,17736.650390625,32134.0859375
10,18,57624.53515625,16288.5732421875,41335.9609375
10,12,62565.73046875,15987.9580078125,46577.7734375
10,29,78382.7421875,10185.5322265625,68197.2109375
10,37,62688.65625,9968.0087890625,52720.6484375
10,47,59974.98828125,15973.7763671875,44001.2109375
15,44,26351.00390625,13687.66796875,12663.3359375
15,33,21620.90234375,13419.78515625,8201.1171875
15,27,31317.109375,19803.9609375,11513.1484375
15,1,40863.76171875,13662.80078125,27200.9609375
15,10,41038.26171875,19996.48828125,21041.7734375
15,18,40503.08984375,16384.00390625,24119.0859375
15,12,52095.390625,17727.431640625,34367.9609375
15,29,60617.87109375,10473.47265625,50144.3984375
15,37,35040.328125,8409.1025390625,26631.2265625
15,47,40098.671875,15452.333984375,24646.3359375
20,44,24081.2578125,12705.6396484375,11375.6171875
20,33,21166.33203125,13002.8720703125,8163.4609375
20,27,30663.87890625,19253.54296875,11410.3359375
20,1,37559.94140625,12829.35546875,24730.5859375
20,10,41315.52734375,19109.78515625,22205.7421875
20,18,37060.31640625,15505.16796875,21555.1484375
20,12,53009.4921875,17341.90625,35667.5859375
20,29,55425.546875,10378.7119140625,45046.8359375
20,37,35940.28125,8455.443359375,27484.8359375
20,47,39254.4453125,15319.3583984375,23935.0859375
25,44,21214.431640625,12776.455078125,8437.9765625
25,33,18494.359375,12751.3515625,5743.0078125
25,27,24371.994140625,18378.361328125,5993.6328125
25,1,34550.86328125,12495.54296875,22055.3203125
25,10,36464.296875,18630.791015625,17833.5078125
25,18,35232.046875,14876.005859375,20356.0390625
25,12,43991.5078125,16987.064453125,27004.4453125
25,29,51033.46875,10301.6494140625,40731.8203125
25,37,30262.318359375,8080.99853515625,22181.3203125
25,47,35914.5859375,15256.267578125,20658.3203125
30,44,20872.90625,12570.6552734375,8302.25
30,33,17648.9140625,12232.4755859375,5416.4375
30,27,21990.537109375,17746.537109375,4244.0
30,1,33073.453125,12236.8291015625,20836.625
30,10,35828.796875,18283.201171875,17545.59375
30,18,34002.50390625,14345.62890625,19656.875
30,12,42225.0390625,16771.853515625,25453.1875
30,29,50807.90234375,10148.52734375,40659.375
30,37,28633.669921875,7548.341796875,21085.328125
30,47,35412.87109375,14976.8701171875,20436.0
35,44,20831.81640625,12516.8623046875,8314.953125
35,33,17822.177734375,12069.255859375,5752.921875
35,27,22530.728515625,17869.994140625,4660.734375
35,1,32175.568359375,11908.958984375,20266.609375
35,10,35340.953125,18389.314453125,16951.640625
35,18,33545.5234375,14366.4150390625,19179.109375
35,12,38514.3828125,16472.869140625,22041.515625
35,29,47636.0859375,10034.2900390625,37601.796875
35,37,27808.1015625,7425.10107421875,20383.0
35,47,35044.93359375,14723.7294921875,20321.203125
40,44,17740.556640625,12611.322265625,5129.234375
40,33,14193.01953125,12105.19140625,2087.828125
40,27,18945.201171875,17820.091796875,1125.109375
40,1,27992.47265625,11924.51953125,16067.953125
40,10,31113.634765625,18468.369140625,12645.265625
40,18,29284.12109375,14492.7314453125,14791.390625
40,12,35524.984375,16488.8125,19036.171875
40,29,40532.23046875,10030.2158203125,30502.015625
40,37,25342.775390625,7411.85400390625,17930.921875
40,47,30863.9609375,14547.9462890625,16316.015625
